model,gain,spectral_rate,direct_eigen_rate,eta
Hub-attached,0.41500000000000004,-0.5416257357910801,-0.5416257357910794,0.9053736922080979
Hub-attached,0.42,-0.5361031542945871,-0.5361031542945871,0.9053736922080979
Hub-attached,0.425,-0.5305805727980941,-0.5305805727980946,0.9053736922080979
Hub-attached,0.43,-0.5250579913016011,-0.5250579913016018,0.9053736922080979
Hub-attached,0.435,-0.5195354098051082,-0.519535409805109,0.9053736922080979
Hub-attached,0.44,-0.514012828308615,-0.5140128283086164,0.9053736922080979
Hub-attached,0.445,-0.508490246812122,-0.5084902468121217,0.9053736922080979
Hub-attached,0.45,-0.502967665315629,-0.50296766531563,0.9053736922080979
Hub-attached,0.455,-0.497445083819136,-0.49744508381913577,0.9053736922080979
Hub-attached,0.46,-0.491922502322643,-0.49192250232264323,0.9053736922080979
Hub-attached,0.465,-0.48639992082615,-0.4863999208261508,0.9053736922080979
Hub-attached,0.47000000000000003,-0.4808773393296569,-0.4808773393296566,0.9053736922080979
Hub-attached,0.47500000000000003,-0.47535475783316394,-0.47535475783316405,0.9053736922080979
Hub-attached,0.48,-0.46983217633667096,-0.4698321763366723,0.9053736922080979
Hub-attached,0.485,-0.464309594840178,-0.46430959484017786,0.9053736922080979
Hub-attached,0.49,-0.458787013343685,-0.4587870133436859,0.9053736922080979
Hub-attached,0.495,-0.4532644318471919,-0.45326443184719256,0.9053736922080979
