network,family,is_toy,variant,projection,residual,exact_expected,analytic_error,dimension,rank,observed_closed,nonzero_spectrum_condition
network_010,Random,False,Coverage,Node,9.036544295409948e-16,True,1.2174940725265283e-16,12,12,True,3.7514631293514333
network_010,Random,False,Coverage,Node + order,6.06004550237887e-16,False,,24,18,True,7.216868774251757
network_010,Random,False,Coverage,Node + order + degree,5.180845012555665e-16,False,,204,26,True,2.414213562373096
network_010,Random,False,Constant bias,Node,0.09157683960992943,False,,12,12,False,3.7514631293514333
network_010,Random,False,Constant bias,Node + order,5.930892264267085e-16,True,7.103925552589698e-17,24,18,True,7.216868774251757
network_010,Random,False,Constant bias,Node + order + degree,4.455278417785842e-16,False,,204,26,True,2.414213562373096
network_010,Random,False,Full DMWA,Node,0.09801476905226508,False,,12,12,False,3.7514631293514333
network_010,Random,False,Full DMWA,Node + order,0.03739851169388559,False,,24,18,False,7.216868774251757
network_010,Random,False,Full DMWA,Node + order + degree,4.623484870926807e-16,True,5.5047665837680065e-17,204,26,True,2.414213562373096
network_011,Core-periphery,False,Coverage,Node,1.034492610232567e-15,True,1.146184552955167e-16,12,12,True,3.8931276555134806
network_011,Core-periphery,False,Coverage,Node + order,1.278874903242479e-15,False,,24,22,True,11.952178687155927
network_011,Core-periphery,False,Coverage,Node + order + degree,3.494739835927261e-16,False,,228,37,True,2.598076211353316
network_011,Core-periphery,False,Constant bias,Node,0.06094671170985763,False,,12,12,False,3.8931276555134806
network_011,Core-periphery,False,Constant bias,Node + order,1.2712350825698227e-15,True,8.819784814036811e-17,24,22,True,11.952178687155927
network_011,Core-periphery,False,Constant bias,Node + order + degree,3.5968928954554144e-16,False,,228,37,True,2.598076211353316
network_011,Core-periphery,False,Full DMWA,Node,0.06618999651457187,False,,12,12,False,3.8931276555134806
network_011,Core-periphery,False,Full DMWA,Node + order,0.026144479482164737,False,,24,22,False,11.952178687155927
network_011,Core-periphery,False,Full DMWA,Node + order + degree,3.5980850435417293e-16,True,7.629307470395994e-17,228,37,True,2.598076211353316
network_012,Modular,False,Coverage,Node,1.2521970019367035e-15,True,2.6838976984356745e-16,12,12,True,3.760388283853894
network_012,Modular,False,Coverage,Node + order,8.476448701320367e-16,False,,24,21,True,4.171398286992427
network_012,Modular,False,Coverage,Node + order + degree,2.4294467667500957e-16,False,,168,30,True,3.0000000000000018
