network,family,variant,time,state,node,value,total,fraction,TV
toy_0,Triangle,Full DMWA,3.5,1,B,0.0683206917056648,0.20496207511699438,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,3.5,1,C,0.0683206917056648,0.20496207511699438,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,3.5,2,A,0.058039493143309265,0.1741184794299278,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,3.5,2,B,0.058039493143309265,0.1741184794299278,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,3.5,2,C,0.058039493143309265,0.1741184794299278,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,3.6,1,A,0.06513574410406048,0.19540723231218143,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,3.6,1,B,0.06513574410406048,0.19540723231218143,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,3.6,1,C,0.06513574410406048,0.19540723231218143,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,3.6,2,A,0.0552981743705674,0.16589452311170222,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,3.6,2,B,0.0552981743705674,0.16589452311170222,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,3.6,2,C,0.0552981743705674,0.16589452311170222,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,3.7,1,A,0.06209726976190222,0.18629180928570666,0.3333333333333333,8.326672684688674e-17
toy_0,Triangle,Full DMWA,3.7,1,B,0.06209726976190222,0.18629180928570666,0.3333333333333333,8.326672684688674e-17
toy_0,Triangle,Full DMWA,3.7,1,C,0.06209726976190222,0.18629180928570666,0.3333333333333333,8.326672684688674e-17
toy_0,Triangle,Full DMWA,3.7,2,A,0.052687511408459085,0.15806253422537725,0.33333333333333337,8.326672684688674e-17
toy_0,Triangle,Full DMWA,3.7,2,B,0.052687511408459085,0.15806253422537725,0.33333333333333337,8.326672684688674e-17
toy_0,Triangle,Full DMWA,3.7,2,C,0.052687511408459085,0.15806253422537725,0.33333333333333337,8.326672684688674e-17
toy_0,Triangle,Full DMWA,3.8000000000000003,1,A,0.0591987898295224,0.1775963694885672,0.3333333333333333,8.326672684688674e-17
toy_0,Triangle,Full DMWA,3.8000000000000003,1,B,0.0591987898295224,0.1775963694885672,0.3333333333333333,8.326672684688674e-17
toy_0,Triangle,Full DMWA,3.8000000000000003,1,C,0.0591987898295224,0.1775963694885672,0.3333333333333333,8.326672684688674e-17
toy_0,Triangle,Full DMWA,3.8000000000000003,2,A,0.05020112749024804,0.15060338247074412,0.33333333333333337,8.326672684688674e-17
toy_0,Triangle,Full DMWA,3.8000000000000003,2,B,0.05020112749024804,0.15060338247074412,0.33333333333333337,8.326672684688674e-17
toy_0,Triangle,Full DMWA,3.8000000000000003,2,C,0.05020112749024804,0.15060338247074412,0.33333333333333337,8.326672684688674e-17
toy_0,Triangle,Full DMWA,3.9000000000000004,1,A,0.056434078490372276,0.16930223547111684,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,3.9000000000000004,1,B,0.056434078490372276,0.16930223547111684,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,3.9000000000000004,1,C,0.056434078490372276,0.16930223547111684,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,3.9000000000000004,2,A,0.04783297587361453,0.1434989276208436,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,3.9000000000000004,2,B,0.04783297587361453,0.1434989276208436,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,3.9000000000000004,2,C,0.04783297587361453,0.1434989276208436,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,4.0,1,A,0.053797157624098195,0.16139147287229458,0.33333333333333337,0.0
toy_0,Triangle,Full DMWA,4.0,1,B,0.053797157624098195,0.16139147287229458,0.33333333333333337,0.0
toy_0,Triangle,Full DMWA,4.0,1,C,0.053797157624098195,0.16139147287229458,0.33333333333333337,0.0
toy_0,Triangle,Full DMWA,4.0,2,A,0.04557732045145145,0.13673196135435434,0.33333333333333337,0.0
toy_0,Triangle,Full DMWA,4.0,2,B,0.04557732045145145,0.13673196135435434,0.33333333333333337,0.0
toy_0,Triangle,Full DMWA,4.0,2,C,0.04557732045145145,0.13673196135435434,0.33333333333333337,0.0
toy_0,Triangle,Full DMWA,4.1000000000000005,1,A,0.05128229088457019,0.15384687265371055,0.33333333333333337,0.0
toy_0,Triangle,Full DMWA,4.1000000000000005,1,B,0.05128229088457019,0.15384687265371055,0.33333333333333337,0.0
toy_0,Triangle,Full DMWA,4.1000000000000005,1,C,0.05128229088457019,0.15384687265371055,0.33333333333333337,0.0
toy_0,Triangle,Full DMWA,4.1000000000000005,2,A,0.04342871776922501,0.130286153307675,0.33333333333333337,0.0
toy_0,Triangle,Full DMWA,4.1000000000000005,2,B,0.04342871776922501,0.130286153307675,0.33333333333333337,0.0
toy_0,Triangle,Full DMWA,4.1000000000000005,2,C,0.04342871776922501,0.130286153307675,0.33333333333333337,0.0
toy_0,Triangle,Full DMWA,4.2,1,A,0.04888397732698598,0.14665193198095794,0.33333333333333337,8.326672684688674e-17
toy_0,Triangle,Full DMWA,4.2,1,B,0.04888397732698598,0.14665193198095794,0.33333333333333337,8.326672684688674e-17
toy_0,Triangle,Full DMWA,4.2,1,C,0.04888397732698598,0.14665193198095794,0.33333333333333337,8.326672684688674e-17
toy_0,Triangle,Full DMWA,4.2,2,A,0.041382000319578296,0.12414600095873489,0.3333333333333333,8.326672684688674e-17
toy_0,Triangle,Full DMWA,4.2,2,B,0.041382000319578296,0.12414600095873489,0.3333333333333333,8.326672684688674e-17
toy_0,Triangle,Full DMWA,4.2,2,C,0.041382000319578296,0.12414600095873489,0.3333333333333333,8.326672684688674e-17
toy_0,Triangle,Full DMWA,4.3,1,A,0.046596944698264135,0.1397908340947924,0.33333333333333337,8.326672684688674e-17
toy_0,Triangle,Full DMWA,4.3,1,B,0.046596944698264135,0.1397908340947924,0.33333333333333337,8.326672684688674e-17
toy_0,Triangle,Full DMWA,4.3,1,C,0.046596944698264135,0.1397908340947924,0.33333333333333337,8.326672684688674e-17
toy_0,Triangle,Full DMWA,4.3,2,A,0.0394322609989982,0.1182967829969946,0.3333333333333333,8.326672684688674e-17
toy_0,Triangle,Full DMWA,4.3,2,B,0.0394322609989982,0.1182967829969946,0.3333333333333333,8.326672684688674e-17
toy_0,Triangle,Full DMWA,4.3,2,C,0.0394322609989982,0.1182967829969946,0.3333333333333333,8.326672684688674e-17
toy_0,Triangle,Full DMWA,4.4,1,A,0.044416142487707366,0.1332484274631221,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,4.4,1,B,0.044416142487707366,0.1332484274631221,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,4.4,1,C,0.044416142487707366,0.1332484274631221,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,4.4,2,A,0.037574838623819995,0.11272451587145998,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,4.4,2,B,0.037574838623819995,0.11272451587145998,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,4.4,2,C,0.037574838623819995,0.11272451587145998,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,4.5,1,A,0.042336734820003344,0.12701020446001005,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,4.5,1,B,0.042336734820003344,0.12701020446001005,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,4.5,1,C,0.042336734820003344,0.12701020446001005,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,4.5,2,A,0.035805304413808886,0.10741591324142666,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,4.5,2,B,0.035805304413808886,0.10741591324142666,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,4.5,2,C,0.035805304413808886,0.10741591324142666,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,4.6000000000000005,1,A,0.04035409325974082,0.12106227977922246,0.3333333333333333,8.326672684688674e-17
toy_0,Triangle,Full DMWA,4.6000000000000005,1,B,0.04035409325974082,0.12106227977922246,0.3333333333333333,8.326672684688674e-17
toy_0,Triangle,Full DMWA,4.6000000000000005,1,C,0.04035409325974082,0.12106227977922246,0.3333333333333333,8.326672684688674e-17
toy_0,Triangle,Full DMWA,4.6000000000000005,2,A,0.03411944936122751,0.10235834808368252,0.33333333333333337,8.326672684688674e-17
toy_0,Triangle,Full DMWA,4.6000000000000005,2,B,0.03411944936122751,0.10235834808368252,0.33333333333333337,8.326672684688674e-17
toy_0,Triangle,Full DMWA,4.6000000000000005,2,C,0.03411944936122751,0.10235834808368252,0.33333333333333337,8.326672684688674e-17
toy_0,Triangle,Full DMWA,4.7,1,A,0.038463789585489724,0.11539136875646917,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,4.7,1,B,0.038463789585489724,0.11539136875646917,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,4.7,1,C,0.038463789585489724,0.11539136875646917,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,4.7,2,A,0.03251327241182973,0.0975398172354892,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,4.7,2,B,0.03251327241182973,0.0975398172354892,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,4.7,2,C,0.03251327241182973,0.0975398172354892,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,4.800000000000001,1,A,0.03666158858188733,0.10998476574566199,0.33333333333333337,8.326672684688674e-17
toy_0,Triangle,Full DMWA,4.800000000000001,1,B,0.03666158858188733,0.10998476574566199,0.33333333333333337,8.326672684688674e-17
toy_0,Triangle,Full DMWA,4.800000000000001,1,C,0.03666158858188733,0.10998476574566199,0.33333333333333337,8.326672684688674e-17
toy_0,Triangle,Full DMWA,4.800000000000001,2,A,0.030982969391753497,0.0929489081752605,0.3333333333333333,8.326672684688674e-17
toy_0,Triangle,Full DMWA,4.800000000000001,2,B,0.030982969391753497,0.0929489081752605,0.3333333333333333,8.326672684688674e-17
toy_0,Triangle,Full DMWA,4.800000000000001,2,C,0.030982969391753497,0.0929489081752605,0.3333333333333333,8.326672684688674e-17
toy_0,Triangle,Full DMWA,4.9,1,A,0.03494344088990202,0.10483032266970606,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,4.9,1,B,0.03494344088990202,0.10483032266970606,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,4.9,1,C,0.03494344088990202,0.10483032266970606,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,4.9,2,A,0.029524922620946477,0.08857476786283944,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,4.9,2,B,0.029524922620946477,0.08857476786283944,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,4.9,2,C,0.029524922620946477,0.08857476786283944,0.3333333333333333,0.0
toy_0,Triangle,Full DMWA,5.0,1,A,0.03330547594832224,0.09991642784496672,0.3333333333333333,8.326672684688674e-17
toy_0,Triangle,Full DMWA,5.0,1,B,0.03330547594832224,0.09991642784496672,0.3333333333333333,8.326672684688674e-17
toy_0,Triangle,Full DMWA,5.0,1,C,0.03330547594832224,0.09991642784496672,0.3333333333333333,8.326672684688674e-17
toy_0,Triangle,Full DMWA,5.0,2,A,0.028135691159649447,0.08440707347894834,0.33333333333333337,8.326672684688674e-17
toy_0,Triangle,Full DMWA,5.0,2,B,0.028135691159649447,0.08440707347894834,0.33333333333333337,8.326672684688674e-17
toy_0,Triangle,Full DMWA,5.0,2,C,0.028135691159649447,0.08440707347894834,0.33333333333333337,8.326672684688674e-17
toy_0,Triangle,Full DMWA,5.1000000000000005,1,A,0.03174399505340323,0.0952319851602097,0.3333333333333333,8.326672684688674e-17
toy_0,Triangle,Full DMWA,5.1000000000000005,1,B,0.03174399505340323,0.0952319851602097,0.3333333333333333,8.326672684688674e-17
