network,family,is_toy,variant,projection,relative_L2_error,max_absolute_error,negative_fraction,finite,exact_expected,context_negative_fraction,minimum_context_state,reduced_spectral_abscissa
network_016,Random,False,Coverage,Node,2.955036460918523e-16,8.326672684688674e-17,0.0,True,True,0.0,3.570536044056752e-05,-0.3992934616393278
network_016,Random,False,Constant bias,Node,0.0050886071114257456,0.0005805261823271582,0.0,True,False,0.0,3.00431666639552e-05,-0.3798244411433943
network_016,Random,False,Constant bias,Node + order,2.756557481079664e-16,5.551115123125783e-17,0.0,True,True,0.0,0.0,-0.3772814310289847
network_016,Random,False,Full DMWA,Node,0.005594262610531867,0.0006178996130540987,0.0,True,False,0.0,2.1534563402167805e-05,-0.3804969746646091
network_016,Random,False,Full DMWA,Node + order,0.00057374589773979,8.780040156328855e-05,0.0,True,False,0.0,0.0,0.0
network_016,Random,False,Full DMWA,Node + order + degree,2.4728045125203247e-16,5.551115123125783e-17,0.0,True,True,0.0,0.0,-0.3776982907338837
network_017,Core-periphery,False,Coverage,Node,2.598136854995192e-16,8.326672684688674e-17,0.0,True,True,0.0,0.00015662375119097647,-0.40732201798060674
network_017,Core-periphery,False,Constant bias,Node,0.0033674747651226463,0.00034254728153049543,0.0,True,False,0.0,0.00015561191534579514,-0.39397649670185403
network_017,Core-periphery,False,Constant bias,Node + order,2.9095787044589084e-16,8.326672684688674e-17,0.0,True,True,0.0,0.0,-0.393332284659492
network_017,Core-periphery,False,Full DMWA,Node,0.003685085978667306,0.0003619305750635973,0.0,True,False,0.0,0.00013794691872518903,-0.3948270658578523
network_017,Core-periphery,False,Full DMWA,Node + order,0.0004749240322812594,6.048391823460647e-05,0.0,True,False,0.0,0.0,0.0
network_017,Core-periphery,False,Full DMWA,Node + order + degree,2.766572266014958e-16,5.551115123125783e-17,0.0,True,True,0.0,0.0,-0.3936882622431197
network_018,Modular,False,Coverage,Node,2.370346183976886e-16,5.551115123125783e-17,0.0,True,True,0.0,9.57222085724832e-05,-0.3881619177006235
network_018,Modular,False,Constant bias,Node,0.006952900255213976,0.0005839227379768157,0.0,True,False,0.0,8.209290925048144e-05,-0.36513124736407643
network_018,Modular,False,Constant bias,Node + order,2.2885240997611795e-16,4.163336342344337e-17,0.0,True,True,0.0,0.0,-0.3628545904371347
