network,family,is_toy,variant,projection,relative_L2_error,max_absolute_error,negative_fraction,finite,exact_expected,context_negative_fraction,minimum_context_state,reduced_spectral_abscissa,context,error_percent
network_031,Random,FALSE,Full DMWA,Node + order,0.00104538653347628,1.2865665540101e-4,0,TRUE,FALSE,0,0,1.8508128564899908e-16,"Nodes +
order",0.104538653347628
network_031,Random,FALSE,Full DMWA,Node + order + degree,2.2349180334165446e-16,5.551115123125783e-17,0,TRUE,TRUE,0,0,-0.34960721597642364,"Nodes +
order + degree",2.2349180334165446e-14
network_032,Core-periphery,FALSE,Full DMWA,Node,0.00809338133772601,8.3131772380073e-4,0,TRUE,FALSE,0,1.1653022540388386e-5,-0.3046072224028815,Nodes,0.8093381337726011
network_032,Core-periphery,FALSE,Full DMWA,Node + order,6.2977813977216e-4,9.83167115483248e-5,0,TRUE,FALSE,0,0,0,"Nodes +
order",0.062977813977216
network_032,Core-periphery,FALSE,Full DMWA,Node + order + degree,2.3082673293606504e-16,4.163336342344337e-17,0,TRUE,TRUE,0,0,-0.3006625945035959,"Nodes +
order + degree",2.3082673293606506e-14
network_033,Modular,FALSE,Full DMWA,Node,0.02695708595538281,0.00256711113252883,0,TRUE,FALSE,0,9.590636181912002e-5,-0.3770022139560042,Nodes,2.695708595538281
network_033,Modular,FALSE,Full DMWA,Node + order,0.00136413470186434,1.8847939391392e-4,0,TRUE,FALSE,0,0,8.898055726162441e-17,"Nodes +
order",0.136413470186434
network_033,Modular,FALSE,Full DMWA,Node + order + degree,2.826318913757547e-16,5.551115123125783e-17,0,TRUE,TRUE,0,0,-0.3570649012457488,"Nodes +
order + degree",2.8263189137575472e-14
network_034,Random,FALSE,Full DMWA,Node,0.01612752403640617,0.00149943254871152,0,TRUE,FALSE,0,9.244211542138737e-5,-0.4358330953890533,Nodes,1.6127524036406171
network_034,Random,FALSE,Full DMWA,Node + order,0.00103238687108191,1.4764806879184e-4,0,TRUE,FALSE,0,0,2.077445640490469e-16,"Nodes +
order",0.10323868710819101
network_034,Random,FALSE,Full DMWA,Node + order + degree,2.1147695354270586e-16,4.163336342344337e-17,0,TRUE,TRUE,0,0,-0.4213140815019022,"Nodes +
order + degree",2.1147695354270587e-14
network_035,Core-periphery,FALSE,Full DMWA,Node,0.01400113712277368,0.00146904187009416,0,TRUE,FALSE,0,1.818504111047209e-5,-0.3837945662446701,Nodes,1.4001137122773681
network_035,Core-periphery,FALSE,Full DMWA,Node + order,0.00107274948491643,1.5722196017525e-4,0,TRUE,FALSE,0,0,1.4913781039488286e-16,"Nodes +
order",0.107274948491643
