network,variant,R,rho,eta,g,decay,spectral_abscissa,stable
network_060,Full DMWA,4.416666666666666,4.960122908258981,0.8904349243670113,0.5,1.0,-0.4384766518952094,True
network_061,Coverage,7.271428571428571,8.536233428347778,0.8518310367756643,0.5,1.0,-0.4130291355753009,True
network_061,Constant bias,5.48095238095238,6.626539757465157,0.827121330522131,0.5,1.0,-0.39549376669518643,True
network_061,Full DMWA,5.480952380952381,6.623645077238725,0.8274828009409719,0.5,1.0,-0.3957578339617149,True
network_062,Coverage,6.785714285714286,7.572798860473089,0.8960642439789254,0.5,1.0,-0.4420042944914567,True
network_062,Constant bias,5.142857142857143,5.903207932077962,0.8711970172879934,0.5,1.0,-0.4260770066035334,True
network_062,Full DMWA,5.142857142857143,5.899139095110194,0.8717979115156084,0.5,1.0,-0.42647258797540033,True
network_063,Coverage,3.7708333333333335,3.8506700597482455,0.9792667963818921,0.5,1.0,-0.4894139147295144,True
network_063,Constant bias,2.875,3.0260073161253085,0.9500968436789281,0.5,1.0,-0.4737378580651639,True
network_063,Full DMWA,2.875,3.023869640914996,0.950768499110977,0.5,1.0,-0.47410962766695797,True
network_064,Coverage,4.898809523809524,5.540020049064212,0.8842584467969573,0.5,1.0,-0.4345544542874916,True
network_064,Constant bias,3.595238095238095,4.3078932276622055,0.8345699174139346,0.5,1.0,-0.40088902131850196,True
network_064,Full DMWA,3.595238095238095,4.305029438243054,0.8351250895755465,0.5,1.0,-0.40128729666818613,True
network_065,Coverage,7.537037037037038,8.647171588214796,0.8716187669167156,0.5,1.0,-0.42635471036412914,True
network_065,Constant bias,5.736111111111111,6.722660601170793,0.8532501417834677,0.5,1.0,-0.41400537132651766,True
network_065,Full DMWA,5.736111111111111,6.717612575420578,0.8538913262279022,0.5,1.0,-0.41444539294154953,True
network_066,Coverage,6.240196078431373,7.153237821162673,0.8723596550879255,0.5,1.0,-0.42684190278193923,True
network_066,Constant bias,4.799019607843137,5.5862761269827095,0.8590731103790263,0.5,1.0,-0.4179773595993501,True
network_066,Full DMWA,4.799019607843138,5.583791622058221,0.8594553544736666,0.5,1.0,-0.41823621506645803,True
network_067,Coverage,4.14,4.580023389541967,0.9039255147590037,0.5,1.0,-0.4468570785577341,True
