network,same_node_error,min_group_state,mass_difference,group_state_L1
network_074,1.942890293094024e-16,0.007142857142857138,1.1102230246251565e-16,0.7339512082987647
network_075,1.1102230246251565e-16,0.008,1.1102230246251565e-16,0.6141124493825507
network_076,5.551115123125783e-17,0.006896551724137924,0.0,0.330298092872639
network_077,6.938893903907228e-17,0.005714285714285713,1.1102230246251565e-16,0.6067736815746392
network_078,1.1102230246251565e-16,0.007692307692307693,3.3306690738754696e-16,0.5876509091014913
network_079,1.6653345369377348e-16,0.009523809523809518,2.220446049250313e-16,0.6919483933357213
network_080,4.163336342344337e-17,0.0066666666666666645,0.0,0.5304129244806967
network_081,3.469446951953614e-16,0.010526315789473682,2.220446049250313e-16,0.7327108971456504
network_082,4.163336342344337e-17,0.0058823529411764705,1.1102230246251565e-16,0.5773694476849399
network_083,4.163336342344337e-17,0.006451612903225809,1.1102230246251565e-16,0.37732968603090145
network_084,1.1102230246251565e-16,0.006249999999999999,0.0,0.7292691191863141
network_085,6.938893903907228e-17,0.007142857142857138,4.440892098500626e-16,0.5249415410226569
network_086,8.326672684688674e-17,0.006250000000000002,0.0,0.4656682048010505
network_087,1.249000902703301e-16,0.006896551724137924,4.440892098500626e-16,0.6654226967729866
network_088,5.551115123125783e-17,0.005405405405405406,0.0,0.6275533682475134
network_089,5.551115123125783e-17,0.006451612903225806,0.0,0.4795911388369716
network_090,1.1102230246251565e-16,0.008,0.0,0.6148483402130883
network_091,4.0245584642661925e-16,0.007692307692307693,1.1102230246251565e-15,0.6568675939074028
network_092,1.3877787807814457e-16,0.004878048780487806,1.1102230246251565e-16,0.49354742110295086
network_093,2.7755575615628914e-17,0.007692307692307689,0.0,0.4842420351828099
network_094,6.938893903907228e-17,0.008333333333333331,0.0,0.47352393920828284
network_095,1.1102230246251565e-16,0.0058823529411764705,0.0,0.6758701563615045
network_096,4.85722573273506e-17,0.0066666666666666645,3.3306690738754696e-16,0.5715526148750419
network_097,6.938893903907228e-17,0.005128205128205127,0.0,0.4460998954057158
network_098,6.938893903907228e-17,0.008333333333333331,0.0,0.5102812398287564
network_099,9.71445146547012e-17,0.008333333333333331,2.220446049250313e-16,0.7748214021732176
network_100,5.551115123125783e-17,0.005263157894736841,2.220446049250313e-16,0.610441885370863
