network,family,is_toy,variant,total_fraction,spatial_TV_mean,spatial_TV_t1,spatial_TV_t10,spatial_TV_max,total_ratio_t1,total_ratio_t10
network_007,Random,False,Full DMWA,0.006634065006559746,0.0019904252951210622,0.00316388591531468,0.00030466275712906,0.003963905405297986,0.9931981592362813,0.9937894166701686
network_008,Core-periphery,False,Coverage,2.2550682903514568e-16,8.387821687216855e-17,1.0234868508263162e-16,6.288372600415926e-17,2.203098814490545e-16,1.0,1.0000000000000002
network_008,Core-periphery,False,Constant bias,0.0019209375173058383,0.0006877493208673742,0.0012962570903490376,6.73365565578948e-05,0.0015306871795109948,1.002149637174408,1.0014397908159178
network_008,Core-periphery,False,Full DMWA,0.0025590698193157057,0.0008317987717518527,0.001525109715678456,9.20763661635414e-05,0.0018150855822759828,1.0026950722485066,1.0023958970815992
network_009,Modular,False,Coverage,1.1350405987097446e-16,8.701589795934162e-17,1.4051260155412137e-16,4.9873299934333204e-17,1.8735013540549517e-16,1.0000000000000002,1.0
network_009,Modular,False,Constant bias,0.004083113677605784,0.001249514417819207,0.0018490263443549475,0.0007466744073402988,0.002146038505256168,0.9963480520539791,0.9940187627875208
network_009,Modular,False,Full DMWA,0.004356940869297738,0.0017390738326513416,0.0021163919548711427,0.0013874035744991004,0.0024908748805919194,0.9962367900375337,0.9931896859207767
network_010,Random,False,Coverage,1.9650294299938704e-16,1.2600163967757542e-16,2.671474153004283e-16,7.806255641895632e-17,3.0184188481996443e-16,1.0000000000000002,0.9999999999999999
network_010,Random,False,Constant bias,0.0015729333539715557,0.002304032486593897,0.0034793179906166746,0.0005196908438205175,0.004286446503045466,0.9993259311723238,0.995245788695537
network_010,Random,False,Full DMWA,0.0013236930478378976,0.002436811255393114,0.0036476517348254054,0.0005558528251839257,0.004513868122536548,0.9995650712471282,0.9954930190826529
network_011,Core-periphery,False,Coverage,1.1494350684790251e-16,8.326239003819681e-17,9.540979117872439e-17,4.5102810375396984e-17,2.255140518769849e-16,1.0000000000000002,1.0
network_011,Core-periphery,False,Constant bias,0.001027506978192131,0.0008252965274321752,0.0012330648814599162,0.00022835146738189828,0.0015140354050170992,0.9989672561750849,0.998957688109936
network_011,Core-periphery,False,Full DMWA,0.0022246168729622693,0.0011055322110903733,0.001484715543259716,0.0004126531108458388,0.001845488751823581,0.9982468173960202,0.9958470547907213
network_012,Modular,False,Coverage,3.8362045040631284e-16,1.3291342852717048e-16,1.196959198423997e-16,1.1687699419393738e-16,2.5326962749261384e-16,1.0000000000000004,1.0000000000000007
network_012,Modular,False,Constant bias,0.0024351448461389226,0.0014506691199172041,0.0020918914107000836,0.0005855934385681808,0.0025645079606849697,0.997612571849173,0.9975799696181703
network_012,Modular,False,Full DMWA,0.0026258189311587545,0.002116110675997227,0.002616713705712658,0.0010807196685482627,0.0032951616437948347,0.9972066716473224,0.9984097246980009
network_013,Random,False,Coverage,1.3532370849240716e-16,8.433791859330242e-17,1.1796119636642288e-16,6.331740687315346e-17,1.8214596497756474e-16,0.9999999999999997,1.0
network_013,Random,False,Constant bias,0.003306122644322263,0.001557503346220312,0.001917828542038938,0.0006447668376107422,0.0024679424531930203,0.9969585203591198,0.995690415854478
network_013,Random,False,Full DMWA,0.004007937139207699,0.0015201675789674862,0.0019793768206148848,0.0005476761325219543,0.0025216674075412802,0.9966245416568549,0.9935518681378106
network_014,Core-periphery,False,Coverage,7.245594318314228e-17,7.274129215639746e-17,7.112366251504909e-17,1.0842021724855044e-16,1.8214596497756474e-16,1.0,1.0000000000000002
network_014,Core-periphery,False,Constant bias,0.0005530896826540493,0.0005596611095632767,0.0008746857398883867,0.00011146921210283562,0.0010620951700294132,1.0004293106405786,1.0010389840097977
network_014,Core-periphery,False,Full DMWA,0.0002256652228411785,0.0006087280746538335,0.0009349130010702263,0.00012370181177248163,0.0011450089531738952,1.0001875643144729,1.0003720097665258
